transmission_cluster,obs,base_date,y,d
0,1,2020-10-17,0,0
1,1,2020-10-20,0,0
2,1,2020-10-20,0,0
3,1,2020-10-20,0,0
4,1,2020-10-20,0,0
5,1,2020-11-18,0,0
6,1,2020-11-18,0,0
7,1,2020-11-18,0,0
8,1,2020-12-05,4,15
8,2,2020-12-06,4,14
8,3,2020-12-07,4,13
8,4,2020-12-08,4,12
8,5,2020-12-09,4,11
9,1,2020-12-05,0,0
10,1,2020-12-05,0,0
11,1,2020-12-05,0,0
12,1,2020-12-05,1,13
12,2,2020-12-06,1,12
12,3,2020-12-07,1,11
12,4,2020-12-08,1,10
12,5,2020-12-09,1,9
13,1,2020-12-05,0,0
14,1,2020-12-05,3,17
14,2,2020-12-06,3,16
14,3,2020-12-07,3,15
14,4,2020-12-08,3,14
14,5,2020-12-09,3,13
15,1,2020-12-11,6,12
15,2,2020-12-12,6,11
15,3,2020-12-13,6,10
15,4,2020-12-14,6,9
15,5,2020-12-15,6,8
16,1,2020-12-11,0,0
17,1,2020-12-11,0,0
18,1,2020-12-11,10,14
18,2,2020-12-12,10,13
18,3,2020-12-13,10,12
18,4,2020-12-14,10,11
18,5,2020-12-15,10,10
19,1,2020-12-11,0,0
20,1,2020-12-11,0,0
21,1,2020-12-16,9,6
21,2,2020-12-17,7,5
21,3,2020-12-18,7,4
21,4,2020-12-19,3,3
21,5,2020-12-20,3,2
22,1,2020-12-16,17,15
22,2,2020-12-17,15,14
22,3,2020-12-18,13,13
22,4,2020-12-19,5,12
22,5,2020-12-20,5,11
23,1,2020-12-16,9,15
23,2,2020-12-17,8,14
23,3,2020-12-18,3,13
23,4,2020-12-19,3,12
23,5,2020-12-20,3,11
24,1,2020-12-16,5,3
24,2,2020-12-17,4,2
24,3,2020-12-18,4,1
24,4,2020-12-19,0,0
25,1,2020-12-16,4,14
25,2,2020-12-17,2,13
25,3,2020-12-18,2,12
25,4,2020-12-19,2,11
25,5,2020-12-20,1,10
26,1,2020-12-16,6,14
26,2,2020-12-17,6,13
26,3,2020-12-18,6,12
26,4,2020-12-19,6,11
26,5,2020-12-20,6,10
27,1,2020-12-17,36,14
27,2,2020-12-18,29,13
27,3,2020-12-19,5,12
27,4,2020-12-20,5,11
27,5,2020-12-21,5,10
28,1,2020-12-17,1,1
28,2,2020-12-18,0,0
29,1,2020-12-17,0,0
30,1,2020-12-18,9,12
30,2,2020-12-19,1,11
30,3,2020-12-20,1,10
30,4,2020-12-21,1,9
30,5,2020-12-22,1,8
31,1,2020-12-18,5,12
31,2,2020-12-19,1,11
31,3,2020-12-20,1,10
31,4,2020-12-21,1,9
31,5,2020-12-22,1,8
32,1,2020-12-18,1,8
32,2,2020-12-19,1,7
32,3,2020-12-20,1,6
32,4,2020-12-21,1,5
32,5,2020-12-22,1,4
33,1,2020-12-18,0,0
34,1,2020-12-19,16,35
34,2,2020-12-20,15,34
34,3,2020-12-21,14,33
34,4,2020-12-22,14,32
34,5,2020-12-23,12,31
35,1,2020-12-19,35,16
35,2,2020-12-20,33,15
35,3,2020-12-21,20,14
35,4,2020-12-22,16,13
35,5,2020-12-23,13,12
36,1,2020-12-19,0,0
37,1,2020-12-19,13,12
37,2,2020-12-20,8,11
37,3,2020-12-21,8,10
37,4,2020-12-22,3,9
37,5,2020-12-23,2,8
38,1,2020-12-19,5,2
38,2,2020-12-20,4,1
38,3,2020-12-21,0,0
39,1,2020-12-20,18,26
39,2,2020-12-21,16,25
39,3,2020-12-22,15,24
39,4,2020-12-23,12,23
39,5,2020-12-24,12,22
40,1,2020-12-20,6,3
40,2,2020-12-21,5,2
40,3,2020-12-22,1,1
40,4,2020-12-23,0,0
41,1,2020-12-23,1,7
41,2,2020-12-24,1,6
41,3,2020-12-25,1,5
41,4,2020-12-26,1,4
41,5,2020-12-27,1,3
42,1,2020-12-24,22,13
42,2,2020-12-25,20,12
42,3,2020-12-26,13,11
42,4,2020-12-27,12,10
42,5,2020-12-28,9,9
43,1,2020-12-25,28,14
43,2,2020-12-26,18,13
43,3,2020-12-27,13,12
43,4,2020-12-28,11,11
43,5,2020-12-29,10,10
44,1,2020-12-26,3,4
44,2,2020-12-27,2,3
44,3,2020-12-28,2,2
44,4,2020-12-29,1,1
44,5,2020-12-30,0,0
45,1,2020-12-26,18,15
45,2,2020-12-27,18,14
45,3,2020-12-28,18,13
45,4,2020-12-29,18,12
45,5,2020-12-30,16,11
46,1,2020-12-27,21,8
